po_id,supplier_name_raw,true_supplier,true_category,item_description,business_unit,order_qty,invoice_value
PO102937,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Power Plant,61,797620.75
PO102938,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,255,26743262.7
PO102939,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Hot Strip Mill,2,29668.56
PO102940,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,323,67797987.47
PO102941,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,348,73989383.16
PO102942,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Power Plant,230,23710833.4
PO102943,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Steel Melt Shop,376,7826526.48
PO102944,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,72,8663712.48
PO102945,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Power Plant,274,14426642.52
PO102946,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,278,2920484.52
PO102947,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,471,56900290.11
PO102948,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Sinter Plant,278,3546487.7
PO102949,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Steel Melt Shop,153,3024329.58
PO102950,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Blast Furnace,232,67060720.56
PO102951,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Power Plant,226,1679177.74
PO102952,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,245,2773836.1
PO102953,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,232,25858281.52
PO102954,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Power Plant,273,4669170.87
PO102955,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,368,35309555.84
PO102956,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,384,3165891.84
PO102957,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,96,1997338.56
PO102958,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Power Plant,453,2929279.2
PO102959,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Blast Furnace,170,16556424.1
PO102960,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Plate Mill,86,891107.06
PO102961,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Central Maintenance,138,14828620.26
PO102962,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Hot Strip Mill,101,2412497.11
PO102963,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,325,6774813.5
PO102964,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,114,24099984.18
PO102965,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,134,1213013.56
PO102966,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Plate Mill,173,14938347.59
PO102967,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Coke Oven,496,9285690.4
PO102968,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,312,7095756.72
PO102969,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Plate Mill,482,72424033.06
PO102970,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,488,9805632.88
PO102971,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,287,34388225.2
PO102972,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Coke Oven,148,16289241.12
PO102973,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,320,46180364.8
PO102974,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Plate Mill,307,45079296.7
PO102975,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Coke Oven,138,7397081.52
PO102976,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,46,636745.8
PO102977,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Plate Mill,104,8644538.24
PO102978,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,110,2062897.1
PO102979,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,230,48050111.9
PO102980,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,77,14076699.56
PO102981,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,406,32368820.96
PO102982,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Blast Furnace,271,7042075.92
PO102983,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Sinter Plant,428,10053450.36
PO102984,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,121,2900574.49
PO102985,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,71,26799642.96
PO102986,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,167,23041958.6
PO102987,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Central Maintenance,144,7674438.24
PO102988,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Plate Mill,262,2950552.3
PO102989,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Hot Strip Mill,217,26641680.24
PO102990,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Power Plant,156,4084251.6
PO102991,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Blast Furnace,14,1232072.38
PO102992,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,158,34212692.74
PO102993,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Plate Mill,68,11805339.24
PO102994,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Coke Oven,3,234898.23
PO102995,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Sinter Plant,218,3197301.36
PO102996,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Power Plant,436,112778105.68
PO102997,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Power Plant,367,14615275.88
PO102998,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,327,7482459.78
PO102999,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,4,588418.64
PO103000,shanthi gears,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Hot Strip Mill,487,187098479.73
PO103001,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Coke Oven,414,7756352.1
PO103002,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,65,6423989.0
PO103003,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,31,368392.84
PO103004,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,251,2666357.94
PO103005,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Central Maintenance,85,10815937.2
PO103006,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Plate Mill,93,34164254.01
PO103007,shanthi gears,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,499,106721928.4
PO103008,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Hot Strip Mill,80,28539439.2
PO103009,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Power Plant,262,4909885.24
PO103010,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,284,30031304.52
PO103011,Vesuvius India Ltd,Vesuvius India Limited,Refractories,tundish nozzle SEN 70mm,Hot Strip Mill,94,4717122.1
PO103012,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Hot Strip Mill,352,23325304.64
PO103013,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Hot Strip Mill,475,33224373.75
PO103014,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Hot Strip Mill,291,17136608.79
PO103015,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,376,51579646.16
PO103016,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Plate Mill,282,42623642.94
PO103017,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Plate Mill,126,2307550.14
PO103018,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Central Maintenance,158,4682868.78
PO103019,L&T,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Sinter Plant,452,36102261.52
PO103020,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,11,3006503.5
PO103021,Indian Oil Corp Ltd,Indian Oil Corporation Limited,Lubricants,turbine oil 46,Blast Furnace,372,2907950.04
PO103022,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,90,21229247.7
PO103023,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Steel Melt Shop,462,129556899.78
PO103024,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Coke Oven,363,132886843.98
PO103025,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,15,5134856.1
PO103026,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Hot Strip Mill,405,8771947.65
PO103027,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,23,1651789.39
PO103028,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,260,25314276.0
PO103029,CASTROL INDIA,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Hot Strip Mill,370,6288989.9
PO103030,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,274,61042511.86
PO103031,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Plate Mill,155,10634511.25
PO103032,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,solenoid valve 5/2 1/4in,Steel Melt Shop,35,599100.95
PO103033,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Blast Furnace,77,8742713.98
PO103034,FESTO INDIA,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Blast Furnace,102,2058815.94
PO103035,INDIAN OIL,Indian Oil Corporation Limited,Lubricants,turbine oil 46,Central Maintenance,101,2042402.81
PO103036,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Hot Strip Mill,352,38044191.68
PO103037,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,325,3394030.25
PO103038,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,444,136050826.32
PO103039,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,339,3465556.32
PO103040,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Steel Melt Shop,207,2369204.01
PO103041,INDIAN OIL,Indian Oil Corporation Limited,Lubricants,hydraulic oil HLP 68 210L,Central Maintenance,17,220409.42
PO103042,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,102,22583475.24
PO103043,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Blast Furnace,99,23106034.71
PO103044,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Steel Melt Shop,234,3779046.18
PO103045,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,402,76647277.74
PO103046,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Plate Mill,286,33741167.46
PO103047,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,296,52502132.72
PO103048,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,9,214918.47
PO103049,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,180,33650287.2
PO103050,L&T,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Blast Furnace,292,26062299.4
PO103051,Siemens Ltd,Siemens Limited,Electrical & Automation,VFD 132KW 415V drive,Sinter Plant,118,14533892.44
PO103052,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Power Plant,479,101873049.4
PO103053,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,474,69808544.34
PO103054,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,399,36465735.18
PO103055,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Central Maintenance,186,3622889.4
PO103056,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Steel Melt Shop,86,24194647.46
PO103057,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Hot Strip Mill,442,8407215.7
PO103058,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Plate Mill,145,37972527.5
PO103059,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,443,68824107.88
PO103060,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Steel Melt Shop,444,4641180.84
PO103061,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,186,26566724.1
PO103062,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,458,10462263.46
PO103063,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Sinter Plant,347,7869411.74
PO103064,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Steel Melt Shop,89,2308884.28
PO103065,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,415,75453005.05
PO103066,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Blast Furnace,31,3952246.73
PO103067,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,413,153090765.66
PO103068,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Hot Strip Mill,142,3178976.72
PO103069,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,22,398535.94
PO103070,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,76,1448451.32
PO103071,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Power Plant,238,1741491.22
PO103072,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,127,1085941.44
PO103073,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Sinter Plant,25,3308404.75
PO103074,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,103,2381362.06
PO103075,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Central Maintenance,290,26267654.8
PO103076,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,220,4207528.6
PO103077,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Power Plant,3,616368.39
PO103078,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Power Plant,415,154780259.2
PO103079,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Steel Melt Shop,224,45722797.12
PO103080,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Blast Furnace,426,17372842.32
PO103081,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,137,11923078.49
PO103082,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Blast Furnace,321,52834706.1
PO103083,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,249,5103867.54
PO103084,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,336,24033310.56
PO103085,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Plate Mill,162,4672520.64
PO103086,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,22,2380029.74
PO103087,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Coke Oven,307,5777340.9
PO103088,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Power Plant,102,1349120.34
PO103089,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Power Plant,285,6305106.3
PO103090,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,77,7819498.61
PO103091,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,137,1690678.64
PO103092,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,378,116053892.64
PO103093,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,229,46117226.83
PO103094,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,435,100911139.05
PO103095,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,27,6951241.26
PO103096,FESTO INDIA,Festo India Private Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Sinter Plant,29,831721.16
PO103097,FESTO INDIA,Festo India Private Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Coke Oven,477,14360232.87
PO103098,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Hot Strip Mill,360,7971498.0
PO103099,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Blast Furnace,43,9887674.13
PO103100,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,436,33542783.64
PO103101,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Plate Mill,71,11073505.77
PO103102,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Plate Mill,378,38674684.44
PO103103,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,6,108074.7
PO103104,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Hot Strip Mill,215,14404140.0
PO103105,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,195,31242806.4
PO103106,L&T,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Sinter Plant,343,14627907.28
PO103107,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,308,54916304.52
PO103108,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Blast Furnace,201,17618100.24
PO103109,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,302,63851074.8
PO103110,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,46,9132366.2
PO103111,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Hot Strip Mill,254,6360655.3
PO103112,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,346,8625216.02
PO103113,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Hot Strip Mill,182,8142281.42
PO103114,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Power Plant,24,8713044.0
PO103115,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Blast Furnace,128,2758005.76
PO103116,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Blast Furnace,262,52228282.58
PO103117,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,174,24226362.78
PO103118,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Hot Strip Mill,125,6882643.75
PO103119,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Power Plant,496,52532684.32
PO103120,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Hot Strip Mill,257,12279526.82
PO103121,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,203,29646016.47
PO103122,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Steel Melt Shop,320,7598048.0
PO103123,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,425,60478609.25
PO103124,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Power Plant,308,4923537.08
PO103125,SMC India,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Plate Mill,110,2212933.8
PO103126,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,128,15683096.32
PO103127,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,400,9474460.0
PO103128,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,143,27431764.36
PO103129,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,50,11633523.5
PO103130,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Power Plant,141,908149.98
PO103131,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Hot Strip Mill,241,46440056.53
PO103132,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Blast Furnace,305,4390947.75
PO103133,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,237,48782283.54
PO103134,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Plate Mill,139,12261716.81
PO103135,CASTROL INDIA,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,471,5724774.21
PO103136,IOCL,Indian Oil Corporation Limited,Lubricants,turbine oil 46,Central Maintenance,276,4314305.04
PO103137,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,260,56943237.0
PO103138,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,134,3562856.32
PO103139,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Blast Furnace,70,22162079.1
PO103140,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Power Plant,400,58296356.0
PO103141,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,23,2860351.76
PO103142,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,373,3247490.93
PO103143,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,128,1985331.2
PO103144,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Power Plant,134,7444638.0
PO103145,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,26,207560.08
PO103146,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,498,137440066.86
PO103147,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,193,34803114.86
PO103148,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,26,360725.3
PO103149,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Plate Mill,405,58894662.6
PO103150,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,227,3207142.26
PO103151,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Power Plant,494,27212814.98
PO103152,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,439,146502175.66
PO103153,SIEMENS,Siemens Limited,Electrical & Automation,PLC S7 input card,Sinter Plant,438,40581370.14
PO103154,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Coke Oven,204,22930609.8
PO103155,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Hot Strip Mill,5,912099.7
PO103156,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,61,5768125.84
